"","Gene stable ID"
"1","ENSG00000094631"
"2","ENSG00000233312"
"3","ENSG00000276276"
"4","ENSG00000275748"
"5","ENSG00000228696"
"6","ENSG00000185829"
"7","ENSG00000087470"
"8","ENSG00000183098"
"9","ENSG00000152767"
"10","ENSG00000179981"
"11","ENSG00000137845"
"12","ENSG00000164885"
"13","ENSG00000133318"
"14","ENSG00000064687"
"15","ENSG00000184258"
"16","ENSG00000262655"
"17","ENSG00000130204"
"18","ENSG00000185043"
"19","ENSG00000276184"
"20","ENSG00000243566"
"21","ENSG00000121774"
"22","ENSG00000149187"
"23","ENSG00000048740"
"24","ENSG00000177143"
"25","ENSG00000087237"
"26","ENSG00000036530"
"27","ENSG00000109819"
"28","ENSG00000134308"
"29","ENSG00000073712"
"30","ENSG00000135094"
"31","ENSG00000070748"
"32","ENSG00000171368"
"33","ENSG00000146670"
"34","ENSG00000101204"
"35","ENSG00000175344"
"36","ENSG00000274542"
"37","ENSG00000282088"
"38","ENSG00000160716"
"39","ENSG00000108018"
"40","ENSG00000079156"
"41","ENSG00000120885"
"42","ENSG00000196136"
"43","ENSG00000166340"
"44","ENSG00000188906"
"45","ENSG00000104853"
"46","ENSG00000262139"
"47","ENSG00000151572"
"48","ENSG00000140090"
"49","ENSG00000160791"
"50","ENSG00000144648"
"51","ENSG00000188822"
"52","ENSG00000093010"
"53","ENSG00000205359"
"54","ENSG00000128271"
"55","ENSG00000176340"
"56","ENSG00000047457"
"57","ENSG00000156170"
"58","ENSG00000203710"
"59","ENSG00000118260"
"60","ENSG00000005339"
"61","ENSG00000147571"
"62","ENSG00000072832"
"63","ENSG00000132693"
"64","ENSG00000109846"
"65","ENSG00000143799"
"66","ENSG00000112062"
"67","ENSG00000164400"
"68","ENSG00000101439"
"69","ENSG00000066032"
"70","ENSG00000168036"
"71","ENSG00000164733"
"72","ENSG00000285132"
"73","ENSG00000117984"
"74","ENSG00000163803"
"75","ENSG00000115841"
"76","ENSG00000188580"
"77","ENSG00000272532"
"78","ENSG00000275211"
"79","ENSG00000100197"
"80","ENSG00000280905"
"81","ENSG00000282966"
"82","ENSG00000283284"
"83","ENSG00000137869"
"84","ENSG00000183020"
"85","ENSG00000280759"
"86","ENSG00000281385"
"87","ENSG00000196730"
"88","ENSG00000150667"
"89","ENSG00000113758"
"90","ENSG00000159640"
"91","ENSG00000172869"
"92","ENSG00000104325"
"93","ENSG00000164619"
"94","ENSG00000107249"
"95","ENSG00000116133"
"96","ENSG00000132535"
"97","ENSG00000119689"
"98","ENSG00000204305"
"99","ENSG00000206320"
"100","ENSG00000229058"
"101","ENSG00000231268"
"102","ENSG00000230514"
"103","ENSG00000234729"
"104","ENSG00000237405"
"105","ENSG00000079805"
"106","ENSG00000092964"
"107","ENSG00000159200"
"108","ENSG00000135744"
"109","ENSG00000157540"
"110","ENSG00000117298"
"111","ENSG00000165029"
"112","ENSG00000101210"
"113","ENSG00000120738"
"114","ENSG00000203805"
"115","ENSG00000134001"
"116","ENSG00000151247"
"117","ENSG00000277571"
"118","ENSG00000197561"
"119","ENSG00000175899"
"120","ENSG00000107331"
"121","ENSG00000072518"
"122","ENSG00000074800"
"123","ENSG00000111674"
"124","ENSG00000147894"
"125","ENSG00000146904"
"126","ENSG00000284816"
"127","ENSG00000133216"
"128","ENSG00000091831"
"129","ENSG00000140009"
"130","ENSG00000157557"
"131","ENSG00000163631"
"132","ENSG00000180210"
"133","ENSG00000111275"
"134","ENSG00000144554"
"135","ENSG00000120899"
"136","ENSG00000150676"
"137","ENSG00000160339"
"138","ENSG00000113578"
"139","ENSG00000107984"
"140","ENSG00000157212"
"141","ENSG00000041515"
"142","ENSG00000188994"
"143","ENSG00000183580"
"144","ENSG00000117523"
"145","ENSG00000182621"
"146","ENSG00000198576"
"147","ENSG00000038532"
"148","ENSG00000113645"
"149","ENSG00000164398"
"150","ENSG00000162736"
"151","ENSG00000142082"
"152","ENSG00000096717"
"153","ENSG00000107130"
"154","ENSG00000120948"
"155","ENSG00000123415"
"156","ENSG00000035664"
"157","ENSG00000198087"
"158","ENSG00000186318"
"159","ENSG00000213024"
"160","ENSG00000105223"
"161","ENSG00000198691"
"162","ENSG00000012779"
"163","ENSG00000275565"
"164","ENSG00000256762"
"165","ENSG00000281139"
"166","ENSG00000198793"
"167","ENSG00000010810"
"168","ENSG00000185933"
"169","ENSG00000154727"
"170","ENSG00000182256"
"171","ENSG00000115828"
"172","ENSG00000182240"
"173","ENSG00000120254"
"174","ENSG00000172020"
"175","ENSG00000111640"
"176","ENSG00000100991"
"177","ENSG00000102145"
"178","ENSG00000105679"
"179","ENSG00000115263"
"180","ENSG00000137880"
"181","ENSG00000168621"
"182","ENSG00000159461"
"183","ENSG00000131095"
"184","ENSG00000259384"
"185","ENSG00000171408"
"186","ENSG00000163106"
"187","ENSG00000090905"
"188","ENSG00000288130"
"189","ENSG00000102290"
"190","ENSG00000136717"
"191","ENSG00000104866"
"192","ENSG00000179846"
"193","ENSG00000155511"
"194","ENSG00000120251"
"195","ENSG00000030582"
"196","ENSG00000136261"
"197","ENSG00000273079"
"198","ENSG00000113580"
"199","ENSG00000183230"
"200","ENSG00000164082"
"201","ENSG00000168959"
"202","ENSG00000082701"
"203","ENSG00000148180"
"204","ENSG00000104687"
"205","ENSG00000110768"
"206","ENSG00000288114"
"207","ENSG00000188677"
"208","ENSG00000142224"
"209","ENSG00000135018"
"210","ENSG00000100453"
"211","ENSG00000135046"
"212","ENSG00000072506"
"213","ENSG00000161610"
"214","ENSG00000000971"
"215","ENSG00000010704"
"216","ENSG00000157168"
"217","ENSG00000198502"
"218","ENSG00000113161"
"219","ENSG00000137309"
"220","ENSG00000100292"
"221","ENSG00000276497"
"222","ENSG00000107282"
"223","ENSG00000166313"
"224","ENSG00000163697"
"225","ENSG00000117594"
"226","ENSG00000185122"
"227","ENSG00000284774"
"228","ENSG00000234475"
"229","ENSG00000215328"
"230","ENSG00000204389"
"231","ENSG00000237724"
"232","ENSG00000235941"
"233","ENSG00000231555"
"234","ENSG00000212866"
"235","ENSG00000204388"
"236","ENSG00000224501"
"237","ENSG00000232804"
"238","ENSG00000170606"
"239","ENSG00000044574"
"240","ENSG00000106211"
"241","ENSG00000080824"
"242","ENSG00000144381"
"243","ENSG00000105290"
"244","ENSG00000142798"
"245","ENSG00000084234"
"246","ENSG00000118137"
"247","ENSG00000102468"
"248","ENSG00000121351"
"249","ENSG00000084674"
"250","ENSG00000187398"
"251","ENSG00000130208"
"252","ENSG00000119912"
"253","ENSG00000166948"
"254","ENSG00000234602"
"255","ENSG00000111537"
"256","ENSG00000189058"
