"","x","y"
"1","ENSG00000000005","4"
"2","ENSG00000000419","3"
"3","ENSG00000000457","5"
"4","ENSG00000000460","6"
"5","ENSG00000001036","3"
"6","ENSG00000001167","6"
"7","ENSG00000001461","4"
"8","ENSG00000001561","4"
"9","ENSG00000001631","1"
"10","ENSG00000002016","2"
"11","ENSG00000002330","4"
"12","ENSG00000002549","2"
"13","ENSG00000002726","6"
"14","ENSG00000002746","6"
"15","ENSG00000002822","6"
"16","ENSG00000002834","6"
"17","ENSG00000002919","4"
"18","ENSG00000002933","4"
"19","ENSG00000003056","4"
"20","ENSG00000003402","6"
"21","ENSG00000003756","90"
"22","ENSG00000003987","8"
"23","ENSG00000004059","2"
"24","ENSG00000004142","6"
"25","ENSG00000004399","6"
"26","ENSG00000004478","2"
"27","ENSG00000004487","6"
"28","ENSG00000004534","2"
"29","ENSG00000004777","3"
"30","ENSG00000004779","6"
"31","ENSG00000004799","2"
"32","ENSG00000004838","5"
"33","ENSG00000004939","4"
"34","ENSG00000004961","4"
"35","ENSG00000005075","6"
"36","ENSG00000005102","6"
"37","ENSG00000005108","4"
"38","ENSG00000005194","3"
"39","ENSG00000005238","6"
"40","ENSG00000005249","9"
"41","ENSG00000005436","6"
"42","ENSG00000005448","6"
"43","ENSG00000005483","4"
"44","ENSG00000005486","4"
"45","ENSG00000005812","1"
"46","ENSG00000006007","4"
"47","ENSG00000006015","6"
"48","ENSG00000006042","4"
"49","ENSG00000006062","6"
"50","ENSG00000006125","6"
"51","ENSG00000006194","6"
"52","ENSG00000006327","3"
"53","ENSG00000006453","5"
"54","ENSG00000006534","3"
"55","ENSG00000006606","4"
"56","ENSG00000006611","11"
"57","ENSG00000006634","6"
"58","ENSG00000006638","4"
"59","ENSG00000006659","6"
"60","ENSG00000006704","1"
"61","ENSG00000006712","73"
"62","ENSG00000006831","4"
"63","ENSG00000006837","6"
"64","ENSG00000007001","160"
"65","ENSG00000007047","1"
"66","ENSG00000007216","4"
"67","ENSG00000007237","6"
"68","ENSG00000007255","6"
"69","ENSG00000007312","4"
"70","ENSG00000007372","6"
"71","ENSG00000007384","6"
"72","ENSG00000007392","3"
"73","ENSG00000007866","1"
"74","ENSG00000007923","2"
"75","ENSG00000007933","4"
"76","ENSG00000007944","6"
"77","ENSG00000008018","6"
"78","ENSG00000008086","6"
"79","ENSG00000008118","3"
"80","ENSG00000008130","3"
"81","ENSG00000008197","6"
"82","ENSG00000008256","8"
"83","ENSG00000008282","4"
"84","ENSG00000008283","4"
"85","ENSG00000008323","6"
"86","ENSG00000008324","11"
"87","ENSG00000008394","4"
"88","ENSG00000008441","6"
"89","ENSG00000008516","3"
"90","ENSG00000008735","6"
"91","ENSG00000009307","3"
"92","ENSG00000009709","6"
"93","ENSG00000009790","4"
"94","ENSG00000009844","9"
"95","ENSG00000010165","6"
"96","ENSG00000010270","4"
"97","ENSG00000010278","4"
"98","ENSG00000010282","4"
"99","ENSG00000010318","1"
"100","ENSG00000010319","4"
"101","ENSG00000010361","1"
"102","ENSG00000010539","6"
"103","ENSG00000010626","6"
"104","ENSG00000010803","1"
"105","ENSG00000010810","6"
"106","ENSG00000010932","4"
"107","ENSG00000011007","6"
"108","ENSG00000011009","6"
"109","ENSG00000011198","4"
"110","ENSG00000011201","1"
"111","ENSG00000011243","6"
"112","ENSG00000011275","1"
"113","ENSG00000011295","6"
"114","ENSG00000011332","6"
"115","ENSG00000011478","4"
"116","ENSG00000011523","6"
"117","ENSG00000011590","6"
"118","ENSG00000011600","4"
"119","ENSG00000011638","4"
"120","ENSG00000012061","6"
"121","ENSG00000012124","4"
"122","ENSG00000012171","3"
"123","ENSG00000012232","6"
"124","ENSG00000012504","2"
"125","ENSG00000012660","4"
"126","ENSG00000012779","1"
"127","ENSG00000012822","6"
"128","ENSG00000013016","4"
"129","ENSG00000013275","127"
"130","ENSG00000013288","4"
"131","ENSG00000013293","4"
"132","ENSG00000013297","4"
"133","ENSG00000013364","6"
"134","ENSG00000013392","5"
"135","ENSG00000013441","3"
"136","ENSG00000013561","3"
"137","ENSG00000013810","6"
"138","ENSG00000014123","8"
"139","ENSG00000015133","1"
"140","ENSG00000015153","2"
"141","ENSG00000015285","43"
"142","ENSG00000015475","2"
"143","ENSG00000015479","3"
"144","ENSG00000015592","4"
"145","ENSG00000016082","6"
"146","ENSG00000016602","4"
"147","ENSG00000017427","6"
"148","ENSG00000017797","6"
"149","ENSG00000018189","6"
"150","ENSG00000018408","1"
"151","ENSG00000018510","48"
"152","ENSG00000018610","6"
"153","ENSG00000019485","6"
"154","ENSG00000019549","6"
"155","ENSG00000019582","4"
"156","ENSG00000019995","6"
"157","ENSG00000020129","6"
"158","ENSG00000020181","6"
"159","ENSG00000020256","6"
"160","ENSG00000020577","6"
"161","ENSG00000020633","3"
"162","ENSG00000021300","6"
"163","ENSG00000021645","2"
"164","ENSG00000023191","3"
"165","ENSG00000023330","1"
"166","ENSG00000023572","60"
"167","ENSG00000023608","6"
"168","ENSG00000023697","3"
"169","ENSG00000023734","147"
"170","ENSG00000023892","6"
"171","ENSG00000023902","4"
"172","ENSG00000023909","6"
"173","ENSG00000024048","6"
"174","ENSG00000024862","5"
"175","ENSG00000025156","6"
"176","ENSG00000025434","2"
"177","ENSG00000025708","1"
"178","ENSG00000025770","4"
"179","ENSG00000025800","6"
"180","ENSG00000026025","6"
"181","ENSG00000026652","4"
"182","ENSG00000027644","3"
"183","ENSG00000027697","4"
"184","ENSG00000027847","7"
"185","ENSG00000028116","4"
"186","ENSG00000028203","4"
"187","ENSG00000028277","6"
"188","ENSG00000028310","2"
"189","ENSG00000028528","4"
"190","ENSG00000028839","2"
"191","ENSG00000029153","10"
"192","ENSG00000029364","4"
"193","ENSG00000029534","4"
"194","ENSG00000029559","3"
"195","ENSG00000029725","6"
"196","ENSG00000029993","6"
"197","ENSG00000030110","4"
"198","ENSG00000030419","6"
"199","ENSG00000030582","3"
"200","ENSG00000031691","6"
"201","ENSG00000031823","6"
"202","ENSG00000032389","6"
"203","ENSG00000032742","5"
"204","ENSG00000033122","6"
"205","ENSG00000033170","6"
"206","ENSG00000033327","3"
"207","ENSG00000033627","4"
"208","ENSG00000033867","40"
"209","ENSG00000034053","57"
"210","ENSG00000034693","41"
"211","ENSG00000034713","5"
"212","ENSG00000034971","4"
"213","ENSG00000035115","77"
"214","ENSG00000035141","6"
"215","ENSG00000035403","6"
"216","ENSG00000035664","6"
"217","ENSG00000035720","4"
"218","ENSG00000035862","1"
"219","ENSG00000036054","6"
"220","ENSG00000036257","6"
"221","ENSG00000036549","6"
"222","ENSG00000036565","4"
"223","ENSG00000036672","6"
"224","ENSG00000037749","8"
"225","ENSG00000037757","2"
"226","ENSG00000037897","7"
"227","ENSG00000037965","6"
"228","ENSG00000038002","3"
"229","ENSG00000038274","6"
"230","ENSG00000038427","5"
"231","ENSG00000038945","4"
"232","ENSG00000039600","6"
"233","ENSG00000039650","4"
"234","ENSG00000039987","4"
"235","ENSG00000040487","4"
"236","ENSG00000040531","5"
"237","ENSG00000040608","3"
"238","ENSG00000041353","24"
"239","ENSG00000041357","1"
"240","ENSG00000041880","3"
"241","ENSG00000041988","3"
"242","ENSG00000042062","5"
"243","ENSG00000042286","85"
"244","ENSG00000042304","6"
"245","ENSG00000042753","37"
"246","ENSG00000042980","140"
"247","ENSG00000043039","6"
"248","ENSG00000043093","1"
"249","ENSG00000043143","6"
"250","ENSG00000043462","6"
"251","ENSG00000044012","1"
"252","ENSG00000044446","2"
"253","ENSG00000044459","111"
"254","ENSG00000046653","4"
"255","ENSG00000047056","3"
"256","ENSG00000047230","100"
"257","ENSG00000047249","1"
"258","ENSG00000047579","6"
"259","ENSG00000047634","1"
"260","ENSG00000047932","2"
"261","ENSG00000048462","4"
"262","ENSG00000048540","6"
"263","ENSG00000048545","2"
"264","ENSG00000049089","1"
"265","ENSG00000049245","4"
"266","ENSG00000049249","4"
"267","ENSG00000049283","1"
"268","ENSG00000049449","6"
"269","ENSG00000049541","6"
"270","ENSG00000049656","4"
"271","ENSG00000049759","1"
"272","ENSG00000049768","6"
"273","ENSG00000049860","4"
"274","ENSG00000049883","1"
"275","ENSG00000050130","4"
"276","ENSG00000050165","4"
"277","ENSG00000050327","6"
"278","ENSG00000050426","4"
"279","ENSG00000050730","3"
"280","ENSG00000050748","6"
"281","ENSG00000050820","6"
"282","ENSG00000051128","6"
"283","ENSG00000051620","2"
"284","ENSG00000052126","2"
"285","ENSG00000052723","6"
"286","ENSG00000052802","4"
"287","ENSG00000052850","6"
"288","ENSG00000053371","3"
"289","ENSG00000053501","4"
"290","ENSG00000053702","6"
"291","ENSG00000054116","6"
"292","ENSG00000054267","2"
"293","ENSG00000054356","4"
"294","ENSG00000054392","3"
"295","ENSG00000054654","3"
"296","ENSG00000054796","6"
"297","ENSG00000054938","3"
"298","ENSG00000054965","6"
"299","ENSG00000055118","4"
"300","ENSG00000055147","4"
"301","ENSG00000055208","6"
"302","ENSG00000055211","4"
"303","ENSG00000055332","18"
"304","ENSG00000055813","24"
"305","ENSG00000056277","3"
"306","ENSG00000056291","4"
"307","ENSG00000056558","6"
"308","ENSG00000057019","4"
"309","ENSG00000057294","6"
"310","ENSG00000057663","6"
"311","ENSG00000057704","6"
"312","ENSG00000058056","6"
"313","ENSG00000058063","6"
"314","ENSG00000058404","6"
"315","ENSG00000058729","6"
"316","ENSG00000058799","4"
"317","ENSG00000059122","6"
"318","ENSG00000059145","6"
"319","ENSG00000059573","4"
"320","ENSG00000059758","1"
"321","ENSG00000059804","4"
"322","ENSG00000060237","6"
"323","ENSG00000060339","6"
"324","ENSG00000060566","4"
"325","ENSG00000060709","3"
"326","ENSG00000060762","4"
"327","ENSG00000060971","6"
"328","ENSG00000060982","1"
"329","ENSG00000061273","6"
"330","ENSG00000061337","6"
"331","ENSG00000061455","6"
"332","ENSG00000061656","4"
"333","ENSG00000061938","6"
"334","ENSG00000062194","6"
"335","ENSG00000062598","148"
"336","ENSG00000062716","4"
"337","ENSG00000062725","2"
"338","ENSG00000062822","3"
"339","ENSG00000063015","1"
"340","ENSG00000063244","3"
"341","ENSG00000063245","1"
"342","ENSG00000063322","6"
"343","ENSG00000063515","3"
"344","ENSG00000063587","6"
"345","ENSG00000063854","9"
"346","ENSG00000063978","6"
"347","ENSG00000064012","6"
"348","ENSG00000064195","3"
"349","ENSG00000064199","9"
"350","ENSG00000064205","3"
"351","ENSG00000064218","6"
"352","ENSG00000064313","3"
"353","ENSG00000064419","1"
"354","ENSG00000064489","6"
"355","ENSG00000064601","4"
"356","ENSG00000064607","6"
"357","ENSG00000064652","6"
"358","ENSG00000064655","6"
"359","ENSG00000064703","3"
"360","ENSG00000064726","10"
"361","ENSG00000064835","6"
"362","ENSG00000064933","2"
"363","ENSG00000064961","6"
"364","ENSG00000064999","6"
"365","ENSG00000065029","6"
"366","ENSG00000065054","6"
"367","ENSG00000065135","1"
"368","ENSG00000065328","1"
"369","ENSG00000065371","6"
"370","ENSG00000065427","6"
"371","ENSG00000065485","3"
"372","ENSG00000065491","6"
"373","ENSG00000065548","2"
"374","ENSG00000065600","4"
"375","ENSG00000065609","6"
"376","ENSG00000065618","1"
"377","ENSG00000065621","6"
"378","ENSG00000065665","4"
"379","ENSG00000065833","161"
"380","ENSG00000065882","6"
"381","ENSG00000065883","5"
"382","ENSG00000065911","3"
"383","ENSG00000065970","6"
"384","ENSG00000065989","2"
"385","ENSG00000066027","2"
"386","ENSG00000066056","6"
"387","ENSG00000066117","6"
"388","ENSG00000066136","6"
"389","ENSG00000066185","6"
"390","ENSG00000066379","6"
"391","ENSG00000066382","2"
"392","ENSG00000066405","4"
"393","ENSG00000066427","1"
"394","ENSG00000066557","142"
"395","ENSG00000066651","6"
"396","ENSG00000066735","6"
"397","ENSG00000066813","1"
"398","ENSG00000066855","4"
"399","ENSG00000067057","6"
"400","ENSG00000067064","6"
"401","ENSG00000067066","20"
"402","ENSG00000067113","4"
"403","ENSG00000067167","4"
"404","ENSG00000067177","13"
"405","ENSG00000067191","6"
"406","ENSG00000067208","6"
"407","ENSG00000067334","3"
"408","ENSG00000067369","6"
"409","ENSG00000067560","5"
"410","ENSG00000067606","6"
"411","ENSG00000067646","6"
"412","ENSG00000067715","4"
"413","ENSG00000067836","6"
"414","ENSG00000067840","6"
"415","ENSG00000067955","3"
"416","ENSG00000068001","3"
"417","ENSG00000068024","6"
"418","ENSG00000068028","1"
"419","ENSG00000068079","8"
"420","ENSG00000068305","6"
"421","ENSG00000068323","52"
"422","ENSG00000068354","5"
"423","ENSG00000068383","1"
"424","ENSG00000068394","6"
"425","ENSG00000068400","6"
"426","ENSG00000068438","4"
"427","ENSG00000068615","4"
"428","ENSG00000068654","1"
"429","ENSG00000068697","4"
"430","ENSG00000068745","6"
"431","ENSG00000068796","14"
"432","ENSG00000068971","1"
"433","ENSG00000068976","2"
"434","ENSG00000068985","4"
"435","ENSG00000069011","6"
"436","ENSG00000069122","6"
"437","ENSG00000069188","6"
"438","ENSG00000069329","38"
"439","ENSG00000069345","2"
"440","ENSG00000069482","1"
"441","ENSG00000069493","4"
"442","ENSG00000069535","4"
"443","ENSG00000069764","6"
"444","ENSG00000069849","4"
"445","ENSG00000069869","6"
"446","ENSG00000069956","68"
"447","ENSG00000069974","24"
"448","ENSG00000070010","38"
"449","ENSG00000070018","138"
"450","ENSG00000070031","6"
"451","ENSG00000070081","4"
"452","ENSG00000070159","8"
"453","ENSG00000070190","2"
"454","ENSG00000070193","3"
"455","ENSG00000070366","3"
"456","ENSG00000070367","2"
"457","ENSG00000070423","1"
"458","ENSG00000070444","6"
"459","ENSG00000070476","65"
"460","ENSG00000070495","5"
"461","ENSG00000070669","6"
"462","ENSG00000070718","3"
"463","ENSG00000070761","3"
"464","ENSG00000070770","6"
"465","ENSG00000070778","6"
"466","ENSG00000070808","6"
"467","ENSG00000070831","6"
"468","ENSG00000070882","6"
"469","ENSG00000070950","8"
"470","ENSG00000070985","1"
"471","ENSG00000071051","6"
"472","ENSG00000071203","4"
"473","ENSG00000071242","6"
"474","ENSG00000071243","3"
"475","ENSG00000071282","5"
"476","ENSG00000071462","36"
"477","ENSG00000071539","6"
"478","ENSG00000071564","6"
"479","ENSG00000071575","6"
"480","ENSG00000071626","3"
"481","ENSG00000071655","6"
"482","ENSG00000071894","6"
"483","ENSG00000071967","4"
"484","ENSG00000071994","6"
"485","ENSG00000072042","4"
"486","ENSG00000072062","9"
"487","ENSG00000072110","6"
"488","ENSG00000072121","6"
"489","ENSG00000072133","3"
"490","ENSG00000072134","1"
"491","ENSG00000072182","5"
"492","ENSG00000072195","3"
"493","ENSG00000072201","6"
"494","ENSG00000072274","4"
"495","ENSG00000072364","6"
"496","ENSG00000072401","1"
"497","ENSG00000072415","10"
"498","ENSG00000072501","4"
"499","ENSG00000072571","6"
"500","ENSG00000072609","1"
"501","ENSG00000072778","3"
"502","ENSG00000072818","8"
"503","ENSG00000072832","1"
"504","ENSG00000072849","4"
"505","ENSG00000072958","6"
"506","ENSG00000073008","4"
"507","ENSG00000073111","12"
"508","ENSG00000073150","6"
"509","ENSG00000073282","1"
"510","ENSG00000073584","6"
"511","ENSG00000073598","1"
"512","ENSG00000073734","2"
"513","ENSG00000073737","4"
"514","ENSG00000073921","6"
"515","ENSG00000073969","3"
"516","ENSG00000074054","8"
"517","ENSG00000074181","6"
"518","ENSG00000074201","2"
"519","ENSG00000074219","1"
"520","ENSG00000074266","3"
"521","ENSG00000074317","6"
"522","ENSG00000074319","6"
"523","ENSG00000074356","13"
"524","ENSG00000074416","4"
"525","ENSG00000074527","3"
"526","ENSG00000074660","4"
"527","ENSG00000074706","8"
"528","ENSG00000074771","4"
"529","ENSG00000074842","1"
"530","ENSG00000074966","6"
"531","ENSG00000075142","2"
"532","ENSG00000075240","8"
"533","ENSG00000075336","1"
"534","ENSG00000075391","3"
"535","ENSG00000075399","6"
"536","ENSG00000075420","6"
"537","ENSG00000075426","3"
"538","ENSG00000075539","6"
"539","ENSG00000075568","1"
"540","ENSG00000075624","6"
"541","ENSG00000075643","42"
"542","ENSG00000075702","6"
"543","ENSG00000075856","6"
"544","ENSG00000075914","1"
"545","ENSG00000075945","1"
"546","ENSG00000075975","1"
"547","ENSG00000076053","6"
"548","ENSG00000076201","1"
