"","X","proteinA","proteinB"
"1","4",813466,813466
"2","5",813466,8350
"3","6",813466,8338
"4","7",813466,8349
"5","13",813671,3885918
"6","14",813671,811393
"7","15",813671,811519
"8","16",813690,2655185
"9","17",813690,810389
"10","18",813690,812450
"11","19",813690,812511
"12","20",813690,3885750
"13","21",813691,813872
"14","22",813691,814101
"15","23",813699,2655152
"16","24",813699,812249
"17","25",813722,812753
"18","26",813730,813315
"19","27",813742,814479
"20","28",813744,2655062
"21","29",813744,813328
"22","30",813744,813497
"23","31",813748,813652
"24","32",813748,2655056
"25","33",813748,2655090
"26","34",813748,2655469
"27","35",813748,810389
"28","36",813748,810423
"29","37",813748,810894
"30","38",813748,812045
"31","39",813748,814419
"32","40",813748,812541
"33","41",813748,3885840
"34","42",813748,3885982
"35","43",813748,813602
"36","44",813748,811274
"37","45",813760,813760
"38","46",813760,2655328
"39","47",813760,812635
"40","48",813760,811554
"41","49",813764,2655158
"42","50",813764,810301
"43","51",813764,814166
"44","52",813764,811641
"45","53",813764,812260
"46","54",813764,812644
"47","55",813764,3885918
"48","56",813765,812511
"49","57",813766,813623
"50","58",813771,813900
"51","59",813771,810273
"52","60",813771,810788
"53","61",813771,811839
"54","62",813771,811926
"55","63",813771,813090
"56","64",813771,813602
"57","65",813771,811355
"58","66",813780,813903
"59","67",813780,810602
"60","68",813780,814392
"61","69",813788,3885792
"62","70",813793,813107
"63","71",813796,813792
"64","72",813796,814131
"65","73",813796,813014
"66","74",813809,2655192
"67","75",813809,812939
"68","76",813817,812964
"69","77",813824,2654992
"70","78",813830,813830
"71","79",813830,2655092
"72","80",813830,810898
"73","81",813830,812556
"74","82",813830,812511
"75","83",813830,811393
"76","84",813843,814250
"77","85",813858,2655237
"78","86",813858,810389
"79","87",813858,812856
"80","88",813858,813064
"81","89",813858,813575
"82","90",813858,811090
"83","91",813868,810948
"84","92",813868,811712
"85","93",813868,812558
"86","94",813868,3885716
"87","95",813868,813313
"88","96",813872,810273
"89","97",813872,810772
"90","98",813872,811926
"91","99",813872,811962
"92","100",813872,812255
"93","101",813872,812728
"94","102",813872,812590
"95","103",813872,813129
"96","104",813872,813575
"97","105",813872,811320
"98","106",813875,814024
"99","107",813875,813127
"100","108",813889,813889
"101","109",813900,814479
"102","110",813903,813780
"103","111",813903,813903
"104","112",813903,2655485
"105","113",813903,810233
"106","114",813903,810505
"107","115",813903,810602
"108","116",813903,814054
"109","117",813903,814392
"110","118",813903,812489
"111","119",813903,3885929
"112","120",813903,811401
"113","121",813904,812527
"114","122",813904,813598
"115","123",813911,2654992
"116","124",813911,810649
"117","125",813911,810804
"118","126",813911,813575
"119","127",813917,813466
"120","128",813918,2654992
"121","129",813918,811257
"122","130",813932,813060
"123","131",813949,810399
"124","132",813949,810502
"125","133",813949,810806
"126","134",813949,812968
"127","135",813949,811329
"128","136",813952,813952
"129","137",813952,2655229
"130","138",813952,812752
"131","139",813952,3885929
"132","140",813952,813379
"133","141",2654930,810273
"134","142",2654930,812529
"135","143",2654930,9221852
"136","144",2654930,813090
"137","145",2655184,2655065
"138","146",2655149,813314
"139","147",2655153,810862
"140","148",2655153,811320
"141","149",2655078,811876
"142","150",2655088,814080
"143","151",2655023,813683
"144","152",2655023,2655186
"145","153",2655023,2655095
"146","154",2655023,2655486
"147","155",2655023,814167
"148","156",2655023,811609
"149","157",2655023,813039
"150","158",2655023,3885750
"151","159",2655023,811393
"152","160",2655031,813760
"153","161",2655031,813875
"154","162",2655031,810389
"155","163",2655031,810660
"156","164",2655031,810748
"157","165",2655031,811040
"158","166",2655031,814268
"159","167",2655031,811669
"160","168",2655031,811916
"161","169",2655031,814409
"162","170",2655031,812529
"163","171",2655031,812375
"164","172",2655031,812542
"165","173",2655031,3885926
"166","174",2655037,811919
"167","175",2654990,2655042
"168","176",2654991,2654991
"169","177",2654991,810184
"170","178",2654992,2655330
"171","179",2654992,810861
"172","180",2654993,810293
"173","181",2654996,813577
"174","182",2654996,811329
"175","183",2654946,2654979
"176","184",2654946,812045
"177","185",2654946,812260
"178","186",2654946,812870
"179","187",2654946,813379
"180","188",2654946,813575
"181","189",2655196,2655153
"182","190",2655196,813631
"183","191",2655203,814015
"184","192",2655018,2655080
"185","193",2655018,2654993
"186","194",2655018,2655132
"187","195",2655018,2655330
"188","196",2655018,810347
"189","197",2655018,810389
"190","198",2655018,810401
"191","199",2655018,810518
"192","200",2655018,810588
"193","201",2655018,810889
"194","202",2655018,810898
"195","203",2655018,814135
"196","204",2655018,814175
"197","205",2655018,811923
"198","206",2655018,812109
"199","207",2655018,812669
"200","208",2655018,814417
"201","209",2655018,812450
"202","210",2655018,812903
"203","211",2655018,813085
"204","212",2655018,3885842
"205","213",2655018,811329
"206","214",2655018,811331
"207","215",2655041,813659
"208","216",2655041,812140
"209","217",2655045,2655042
"210","218",2655045,810765
"211","219",2655045,811329
"212","220",2655221,814250
"213","221",2655222,2654993
"214","222",2655222,2655222
"215","223",2655222,2655485
"216","224",2655222,811916
"217","225",2655222,3885929
"218","226",2655222,813325
"219","227",2655222,811123
"220","228",2655394,810389
"221","229",2655235,2655235
"222","230",2655251,810669
"223","231",2655409,811859
"224","232",2655409,812260
"225","233",2655409,812558
"226","234",2655409,813498
"227","235",2655409,813510
"228","236",2655405,2655405
"229","237",2655399,2655185
"230","238",2655399,810518
"231","239",2655399,814447
"232","240",2655400,813837
"233","241",2655400,2655222
"234","242",2655400,2655400
"235","243",2655400,2655229
"236","244",2655400,2655485
"237","245",2655400,810233
"238","246",2655400,810389
"239","247",2655400,810689
"240","248",2655400,810889
"241","249",2655400,811613
"242","250",2655400,812261
"243","251",2655400,812521
"244","252",2655400,812480
"245","253",2655400,813130
"246","254",2655400,3885929
"247","255",2655400,3885686
"248","256",2655400,813325
"249","257",2655400,813623
"250","258",2655400,811331
"251","259",2655362,9221775
"252","260",2655362,812939
"253","261",2655363,811038
"254","262",2655229,2655229
"255","263",2655229,2655100
"256","264",2655229,810389
"257","265",2655229,810423
"258","266",2655229,811036
"259","267",2655229,814050
"260","268",2655229,814195
"261","269",2655229,811688
"262","270",2655229,811772
"263","271",2655229,811782
"264","272",2655229,811926
"265","273",2655229,812045
"266","274",2655229,812159
"267","275",2655229,812719
"268","276",2655229,812762
"269","277",2655229,812791
"270","278",2655229,814532
"271","279",2655229,812542
"272","280",2655229,812483
"273","281",2655229,813130
"274","282",2655229,3885840
