Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Gene Type	Input ID
PF3D7_0201900	PF3D7_0201900.1	P. falciparum 3D7	Pf3D7_02_v3:91,318..98,838(-)	erythrocyte membrane protein 3	protein coding	812615
PF3D7_0202000	PF3D7_0202000.1	P. falciparum 3D7	Pf3D7_02_v3:103,385..105,796(-)	knob-associated histidine-rich protein	protein coding	812616
PF3D7_0202200	PF3D7_0202200.1	P. falciparum 3D7	Pf3D7_02_v3:112,547..113,682(-)	EMP1-trafficking protein	protein coding	812618
PF3D7_0202400	PF3D7_0202400.1	P. falciparum 3D7	Pf3D7_02_v3:120,524..124,102(+)	translation-enhancing factor	protein coding	812620
PF3D7_0202500	PF3D7_0202500.1	P. falciparum 3D7	Pf3D7_02_v3:127,994..128,314(+)	early transcribed membrane protein 2	protein coding	812621
PF3D7_0202600	PF3D7_0202600.1	P. falciparum 3D7	Pf3D7_02_v3:129,342..133,563(-)	nucleic acid binding protein, putative	protein coding	812622
PF3D7_0202600	PF3D7_0202600.2	P. falciparum 3D7	Pf3D7_02_v3:129,342..133,563(-)	nucleic acid binding protein, putative	protein coding	812622
PF3D7_0203000	PF3D7_0203000.1	P. falciparum 3D7	Pf3D7_02_v3:141,625..147,564(-)	repetitive organellar protein, putative	protein coding	812625
PF3D7_0203700	PF3D7_0203700.1	P. falciparum 3D7	Pf3D7_02_v3:168,682..170,136(-)	protein MAK16, putative	protein coding	812630
PF3D7_0204100	PF3D7_0204100.1	P. falciparum 3D7	Pf3D7_02_v3:182,228..189,115(-)	Sel1 repeat-containing protein, putative	protein coding	812635
PF3D7_0204200	PF3D7_0204200.1	P. falciparum 3D7	Pf3D7_02_v3:192,818..194,199(+)	conserved Plasmodium protein, unknown function	protein coding	812636
PF3D7_0204300	PF3D7_0204300.1	P. falciparum 3D7	Pf3D7_02_v3:194,826..196,916(-)	conserved Plasmodium protein, unknown function	protein coding	812637
PF3D7_0205100	PF3D7_0205100.1	P. falciparum 3D7	Pf3D7_02_v3:214,838..217,348(-)	conserved Plasmodium protein, unknown function	protein coding	812644
PF3D7_0205900	PF3D7_0205900.1	P. falciparum 3D7	Pf3D7_02_v3:235,237..238,816(+)	26S proteasome regulatory subunit RPN1, putative	protein coding	812651
PF3D7_0206300	PF3D7_0206300.1	P. falciparum 3D7	Pf3D7_02_v3:252,394..262,443(+)	pentafunctional AROM polypeptide, putative, pseudogene	protein coding	812656
PF3D7_0206800	PF3D7_0206800.1	P. falciparum 3D7	Pf3D7_02_v3:273,689..274,507(-)	merozoite surface protein 2	protein coding	812660
PF3D7_0207000	PF3D7_0207000.1	P. falciparum 3D7	Pf3D7_02_v3:277,494..278,456(-)	merozoite surface protein 4	protein coding	812662
PF3D7_0207400	PF3D7_0207400.1	P. falciparum 3D7	Pf3D7_02_v3:294,273..297,616(-)	serine repeat antigen 7	protein coding	812666
PF3D7_0207500	PF3D7_0207500.1	P. falciparum 3D7	Pf3D7_02_v3:298,897..302,564(-)	serine repeat antigen 6	protein coding	812667
PF3D7_0207600	PF3D7_0207600.1	P. falciparum 3D7	Pf3D7_02_v3:303,593..307,027(-)	serine repeat antigen 5	protein coding	812668
PF3D7_0207700	PF3D7_0207700.1	P. falciparum 3D7	Pf3D7_02_v3:308,847..312,155(-)	serine repeat antigen 4	protein coding	812669
PF3D7_0208200	PF3D7_0208200.1	P. falciparum 3D7	Pf3D7_02_v3:335,679..336,581(-)	KRR1 small subunit processome component, putative	protein coding	812674
PF3D7_0208400	PF3D7_0208400.1	P. falciparum 3D7	Pf3D7_02_v3:343,308..349,340(-)	conserved Plasmodium protein, unknown function	protein coding	812676
PF3D7_0208600	PF3D7_0208600.1	P. falciparum 3D7	Pf3D7_02_v3:354,621..356,117(+)	ribosome-recycling factor	protein coding	812678
PF3D7_0209300	PF3D7_0209300.1	P. falciparum 3D7	Pf3D7_02_v3:387,273..388,151(+)	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	protein coding	812685
PF3D7_0210700	PF3D7_0210700.1	P. falciparum 3D7	Pf3D7_02_v3:436,050..436,994(+)	syntaxin, Qa-SNARE family	protein coding	812696
PF3D7_0210900	PF3D7_0210900.1	P. falciparum 3D7	Pf3D7_02_v3:442,080..442,934(-)	conserved Plasmodium protein, unknown function	protein coding	812698
PF3D7_0212100	PF3D7_0212100.1	P. falciparum 3D7	Pf3D7_02_v3:483,436..488,970(+)	conserved Plasmodium protein, unknown function	protein coding	812709
PF3D7_0213100	PF3D7_0213100.1	P. falciparum 3D7	Pf3D7_02_v3:537,789..539,420(+)	protein SIS1	protein coding	812719
PF3D7_0213700	PF3D7_0213700.1	P. falciparum 3D7	Pf3D7_02_v3:557,048..557,696(+)	conserved protein, unknown function	protein coding	812724
PF3D7_0214100	PF3D7_0214100.1	P. falciparum 3D7	Pf3D7_02_v3:568,529..573,315(-)	protein transport protein SEC31	protein coding	812728
PF3D7_0214400	PF3D7_0214400.1	P. falciparum 3D7	Pf3D7_02_v3:586,765..589,051(-)	conserved protein, unknown function	protein coding	812731
PF3D7_0214700	PF3D7_0214700.1	P. falciparum 3D7	Pf3D7_02_v3:599,829..601,712(-)	conserved Plasmodium protein, unknown function	protein coding	812734
PF3D7_0214900	PF3D7_0214900.1	P. falciparum 3D7	Pf3D7_02_v3:610,625..615,372(+)	rhoptry neck protein 6	protein coding	812736
PF3D7_0215600	PF3D7_0215600.1	P. falciparum 3D7	Pf3D7_02_v3:643,106..644,317(-)	conserved Plasmodium protein, unknown function	protein coding	812743
PF3D7_0216100	PF3D7_0216100.1	P. falciparum 3D7	Pf3D7_02_v3:664,984..668,532(-)	conserved Plasmodium protein, unknown function	protein coding	812748
PF3D7_0216600	PF3D7_0216600.1	P. falciparum 3D7	Pf3D7_02_v3:686,485..688,545(+)	MtN3-like protein	protein coding	812752
PF3D7_0216700	PF3D7_0216700.1	P. falciparum 3D7	Pf3D7_02_v3:690,311..695,783(+)	autophagy-related protein 11, putative	protein coding	812753
PF3D7_0216700	PF3D7_0216700.2	P. falciparum 3D7	Pf3D7_02_v3:690,311..695,783(+)	autophagy-related protein 11, putative	protein coding	812753
PF3D7_0217500	PF3D7_0217500.1	P. falciparum 3D7	Pf3D7_02_v3:720,437..722,661(+)	calcium-dependent protein kinase 1	protein coding	812762
PF3D7_0218600	PF3D7_0218600.1	P. falciparum 3D7	Pf3D7_02_v3:755,418..762,560(+)	patatin-like phospholipase, putative	protein coding	812772
PF3D7_0219100	PF3D7_0219100.1	P. falciparum 3D7	Pf3D7_02_v3:769,761..771,041(+)	saccharopine dehydrogenase, putative	protein coding	812774
PF3D7_0220000	PF3D7_0220000.1	P. falciparum 3D7	Pf3D7_02_v3:796,752..801,586(+)	liver stage antigen 3	protein coding	812783
PF3D7_0220100	PF3D7_0220100.1	P. falciparum 3D7	Pf3D7_02_v3:804,520..807,741(+)	DnaJ protein, putative	protein coding	812784
PF3D7_0220800	PF3D7_0220800.1	P. falciparum 3D7	Pf3D7_02_v3:838,843..844,116(+)	cytoadherence linked asexual protein 2	protein coding	812791
PF3D7_0300100	PF3D7_0300100.1	P. falciparum 3D7	Pf3D7_03_v3:36,965..44,482(+)	erythrocyte membrane protein 1, PfEMP1	protein coding	814321
PF3D7_0301600	PF3D7_0301600.1	P. falciparum 3D7	Pf3D7_03_v3:91,115..93,463(-)	Plasmodium exported protein (hyp1), unknown function	protein coding	9221772
PF3D7_0302000	PF3D7_0302000.1	P. falciparum 3D7	Pf3D7_03_v3:107,961..109,880(-)	pre-mRNA-splicing factor PRP46, putative	protein coding	814338
PF3D7_0302100	PF3D7_0302100.1	P. falciparum 3D7	Pf3D7_03_v3:114,070..118,086(+)	serine/threonine protein kinase	protein coding	814339
PF3D7_0302500	PF3D7_0302500.1	P. falciparum 3D7	Pf3D7_03_v3:135,418..140,660(+)	cytoadherence linked asexual protein 3.1	protein coding	814342
PF3D7_0302600	PF3D7_0302600.1	P. falciparum 3D7	Pf3D7_03_v3:141,556..145,653(+)	ABC transporter B family member 4, putative	protein coding	814343
PF3D7_0303200	PF3D7_0303200.1	P. falciparum 3D7	Pf3D7_03_v3:169,571..174,300(+)	HAD superfamily protein, putative	protein coding	814349
PF3D7_0303300	PF3D7_0303300.1	P. falciparum 3D7	Pf3D7_03_v3:175,022..175,799(-)	DNA-directed RNA polymerases I, II, and III subunit RPABC2, putative	protein coding	814350
PF3D7_0303500	PF3D7_0303500.1	P. falciparum 3D7	Pf3D7_03_v3:182,731..189,411(+)	spindle pole body protein, putative	protein coding	814352
PF3D7_0303700	PF3D7_0303700.1	P. falciparum 3D7	Pf3D7_03_v3:191,245..192,591(-)	lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex	protein coding	814354
PF3D7_0303800	PF3D7_0303800.1	P. falciparum 3D7	Pf3D7_03_v3:194,430..196,211(+)	IBR domain protein, putative	protein coding	814355
